,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),1.85%,0.99,0.97,0.40,19447,48038.43
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),5.93%,1.25,1.18,4.18,81339,19444.17
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-0.77%,10.36,10.44,1.77,44157,24953.57
3,AC.PA,Accor SA (ENXTPA:AC),0.67%,33.11,32.89,0.87,610769,703303.00
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),2.10%,13.13,12.86,1.44,7002008,4855985.65
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),4.46%,5.62,5.38,0.20,29891,149605.91
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-0.36%,111.70,112.10,1.46,116862,79883.22
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-1.29%,1.53,1.55,0.31,3537,11327.41
8,AF.PA,Air France-KLM SA (ENXTPA:AF),-0.89%,7.76,7.83,0.53,694034,1297553.87
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),1.41%,163.58,161.30,1.10,674059,611103.70
10,AIR.PA,Airbus SE (ENXTPA:AIR),2.21%,135.98,133.04,1.09,1331096,1219894.78
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),2.44%,79.65,77.75,0.95,129997,136392.26
12,AKW.PA,Akwel SA (ENXTPA:AKW),2.42%,10.14,9.90,0.67,1397,2093.22
13,ALO.PA,Alstom SA (ENXTPA:ALO),2.72%,17.17,16.72,0.61,753730,1231414.39
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-0.61%,97.50,98.10,1.04,4550,4359.91
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),3.17%,192.20,186.30,0.89,50339,56762.57
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),2.10%,63.20,61.90,0.87,116392,133750.48
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),1.16%,12.22,12.08,0.40,7186,18058.39
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),1.27%,25.50,25.18,1.03,215488,209789.52
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),2.71%,4.93,4.80,1.18,30813,26079.57
20,ARG.PA,Argan SA (ENXTPA:ARG),1.08%,74.80,74.00,0.74,6119,8255.26
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),0.74%,47.50,47.15,0.77,9174,11909.91
22,ATE.PA,Alten S.A. (ENXTPA:ATE),3.28%,97.70,94.60,1.00,48698,48700.22
23,ATO.PA,Atos SE (ENXTPA:ATO),0.38%,0.89,0.89,0.25,1428748,5750176.48
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),11.18%,0.09,0.09,1.80,283565,157838.17
25,AYV.PA,Ayvens (ENXTPA:AYV),-0.58%,5.99,6.03,0.98,426245,436918.83
26,BALYO.PA,Balyo SA (ENXTPA:BALYO),-0.68%,0.58,0.59,0.24,1448,6035.57
27,BB.PA,Société BIC SA (ENXTPA:BB),0.87%,58.00,57.50,0.89,22025,24795.48
28,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),3.05%,8.79,8.53,0.48,76540,159681.57
29,BIG.PA,BigBen Interactive (ENXTPA:BIG),0.70%,2.17,2.15,0.37,9852,26965.04
30,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),0.31%,96.70,96.40,1.92,148829,77532.65
31,BLC.PA,Bastide Le Confort Médical SA (ENXTPA:BLC),-0.42%,19.10,19.18,0.85,3604,4243.87
32,BLV.PA,Believe S.A. (ENXTPA:BLV),2.72%,14.34,13.96,0.95,3180,3356.96
33,BN.PA,Danone S.A. (ENXTPA:BN),0.93%,60.74,60.18,0.91,1096216,1198945.22
34,BNP.PA,BNP Paribas SA (ENXTPA:BNP),2.82%,59.46,57.83,1.47,3846128,2622224.52
35,BOI.PA,Boiron SA (ENXTPA:BOI),-0.48%,31.35,31.50,0.38,609,1585.48
36,BOL.PA,Bolloré SE (ENXTPA:BOL),3.99%,5.74,5.52,1.73,1865201,1078657.30
37,BON.PA,Bonduelle SCA (ENXTPA:BON),1.14%,7.07,6.99,0.90,19936,22095.30
38,BVI.PA,Bureau Veritas SA (ENXTPA:BVI),1.74%,28.14,27.66,0.80,529143,660764.96
39,CA.PA,Carrefour SA (ENXTPA:CA),2.41%,13.81,13.49,1.08,1823162,1690633.57
41,CAP.PA,Capgemini SE (ENXTPA:CAP),0.74%,177.50,176.20,0.92,356072,387905.35
42,CARM.PA,Carmila S.A. (ENXTPA:CARM),0.74%,16.34,16.22,1.62,57274,35343.87
43,CATG.PA,SA Catana Group (ENXTPA:CATG),2.47%,4.77,4.66,0.55,26917,48863.57
