,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-0.80%,0.99,1.00,0.50,13733,27481.57
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),4.65%,1.35,1.29,1.28,32985,25775.71
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-0.18%,10.88,10.90,0.74,12995,17542.62
3,AC.PA,Accor SA (ENXTPA:AC),1.40%,38.30,37.77,0.65,432151,664894.00
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),1.03%,14.27,14.13,1.08,3498981,3234170.52
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),6.59%,5.82,5.46,2.35,171300,73042.38
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),0.26%,117.60,117.30,1.16,55974,48062.95
7,AF.PA,Air France-KLM SA (ENXTPA:AF),0.12%,8.06,8.05,0.73,638657,880131.57
8,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),2.37%,166.20,162.36,1.08,471096,436614.24
9,AIR.PA,Airbus SE (ENXTPA:AIR),1.11%,129.76,128.34,1.28,1029445,807403.38
10,AKE.PA,Arkema S.A. (ENXTPA:AKE),1.20%,80.00,79.05,0.96,106256,110453.52
11,AKW.PA,Akwel SA (ENXTPA:AKW),-0.98%,10.06,10.16,1.14,2994,2636.05
12,ALO.PA,Alstom SA (ENXTPA:ALO),-0.96%,17.10,17.27,1.12,865712,771068.62
13,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-0.38%,104.20,104.60,0.45,1565,3447.24
14,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),0.69%,188.50,187.20,0.72,20350,28272.00
15,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),1.52%,66.80,65.80,1.01,88389,87940.90
16,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),1.21%,11.70,11.56,0.79,13562,17226.43
17,APAM.AS,Aperam S.A. (ENXTAM:APAM),0.86%,23.34,23.14,0.80,109539,137168.00
18,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),1.91%,5.34,5.24,0.58,16016,27822.24
19,ARG.PA,Argan SA (ENXTPA:ARG),1.19%,76.60,75.70,0.91,6236,6858.24
20,ASY.PA,Assystem S.A. (ENXTPA:ASY),1.63%,49.95,49.15,0.71,6494,9101.38
21,ATE.PA,Alten S.A. (ENXTPA:ATE),1.49%,92.25,90.90,1.59,55369,34909.90
22,ATO.PA,Atos SE (ENXTPA:ATO),0.72%,0.70,0.69,0.56,508293,901525.57
