,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),3.85%,0.97,0.94,0.52,25691,49338.05
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-2.43%,10.44,10.70,2.67,64397,24080.68
3,AC.PA,Accor SA (ENXTPA:AC),1.29%,32.89,32.47,0.95,672525,707509.09
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-0.77%,12.86,12.96,0.95,4522392,4758439.18
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),1.13%,5.38,5.32,0.48,73808,155047.50
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-0.62%,112.10,112.80,0.93,72408,78202.36
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-4.91%,1.55,1.63,0.83,9749,11698.38
8,AF.PA,Air France-KLM SA (ENXTPA:AF),1.11%,7.83,7.75,0.54,710273,1324986.59
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-1.04%,161.30,163.00,1.33,808582,608242.09
10,AIR.PA,Airbus SE (ENXTPA:AIR),1.95%,133.04,130.50,1.32,1599840,1214840.18
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),0.32%,77.75,77.50,0.90,123374,136682.95
12,AKW.PA,Akwel SA (ENXTPA:AKW),-1.00%,9.90,10.00,0.24,514,2124.86
13,ALO.PA,Alstom SA (ENXTPA:ALO),-1.65%,16.72,17.00,0.74,922860,1253127.32
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),1.98%,98.10,96.20,1.11,4817,4351.27
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),0.43%,186.30,185.50,0.76,43139,57054.55
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),-0.16%,61.90,62.00,1.07,143960,134539.50
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),2.20%,12.08,11.82,1.46,27039,18552.59
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),1.78%,25.18,24.74,1.06,222519,209530.50
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),6.67%,4.80,4.50,1.29,33445,25864.41
20,ARG.PA,Argan SA (ENXTPA:ARG),-0.40%,74.00,74.30,0.77,6462,8352.36
