,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
102,KER.PA,Kering SA (ENXTPA:KER),-2.59%,265.35,272.40,1.24,353217,285025.67
103,KOF.PA,Kaufman & Broad S.A. (ENXTPA:KOF),-2.43%,30.10,30.85,0.81,14597,17941.38
104,LACR.PA,LACROIX Group SA (ENXTPA:LACR),-0.49%,20.30,20.40,0.93,1184,1271.71
105,LAT.PA,Latécoère S.A. (ENXTPA:LAT),-3.26%,0.01,0.01,1.06,934930,882441.19
106,LHYFE.PA,Lhyfe SA (ENXTPA:LHYFE),-0.90%,3.86,3.89,1.22,7294,6003.00
107,LI.PA,Klépierre SA (ENXTPA:LI),-1.35%,26.36,26.72,1.33,843895,635372.19
108,LNA.PA,LNA Santé SA (ENXTPA:LNA),-2.61%,24.30,24.95,1.53,3936,2567.62
109,LOCAL.PA,Solocal Group S.A. (ENXTPA:LOCAL),-3.23%,0.00,0.00,1.89,57860832,30685869.90
110,LR.PA,Legrand SA (ENXTPA:LR),-1.81%,92.20,93.90,1.31,582520,445763.00
111,LSS.PA,Lectra SA (ENXTPA:LSS),-2.56%,24.75,25.40,0.65,8714,13359.38
112,MAU.PA,Etablissements Maurel & Prom S.A. (ENXTPA:MAU),-0.19%,5.30,5.31,2.78,457065,164409.86
113,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne (ENXTPA:MC)",-0.98%,624.30,630.50,1.71,724542,424505.00
114,MCPHY.PA,McPhy Energy S.A. (ENXTPA:MCPHY),-12.18%,2.09,2.38,3.31,218367,65992.57
115,MDM.PA,Maisons du Monde S.A. (ENXTPA:MDM),-8.19%,3.31,3.60,2.03,89439,44061.19
116,MEDCL.PA,MedinCell S.A. (ENXTPA:MEDCL),-3.94%,14.64,15.24,2.30,137673,59859.38
117,MEMS.PA,"MEMSCAP, S.A. (ENXTPA:MEMS)",-3.45%,5.88,6.09,1.78,46656,26153.86
118,MERY.PA,Mercialys SA (ENXTPA:MERY),-2.04%,11.50,11.74,2.27,477538,210639.62
119,MF.PA,Wendel (ENXTPA:MF),-2.39%,83.90,85.95,1.67,62434,37399.43
120,MHM.PA,MyHotelMatch S.A. (ENXTPA:MHM),6.67%,0.51,0.48,1.61,19162,11917.14
121,ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions (ENXTPA:ML),-2.71%,34.50,35.46,1.76,2506680,1428002.71
122,MMT.PA,Métropole Télévision S.A. (ENXTPA:MMT),-1.68%,11.70,11.90,1.63,107874,66221.95
123,MRN.PA,Mersen S.A. (ENXTPA:MRN),-2.58%,30.15,30.95,1.86,64562,34785.81
124,MT.AS,ArcelorMittal S.A. (ENXTAM:MT),-1.83%,19.07,19.42,1.53,3990443,2603292.95
125,MTU.PA,Manitou BF SA (ENXTPA:MTU),-1.71%,20.10,20.45,2.14,25678,11984.38
126,NACON.PA,Nacon S.A. (ENXTPA:NACON),-1.62%,1.09,1.11,1.02,99529,97705.24
127,NANO.PA,Nanobiotix S.A. (ENXTPA:NANO),-4.97%,4.40,4.63,2.17,101790,46839.95
128,NEOEN.PA,Neoen S.A. (ENXTPA:NEOEN),-0.26%,38.38,38.48,1.00,267088,266576.33
129,NEX.PA,Nexans S.A. (ENXTPA:NEX),-1.42%,111.00,112.60,1.14,163870,144092.14
130,NHOA.PA,NHOA S.A. (ENXTPA:NHOA),-0.92%,1.07,1.08,0.23,112988,494812.52
131,NK.PA,Imerys S.A. (ENXTPA:NK),-1.55%,29.20,29.66,1.71,130188,76162.19
132,NXI.PA,Nexity SA (ENXTPA:NXI),-2.90%,9.38,9.66,1.04,194044,186892.57
133,OPM.PA,OPmobility SE (ENXTPA:OPM),-3.06%,8.70,8.98,1.31,280775,213771.24
134,OR.PA,L'Oréal S.A. (ENXTPA:OR),1.02%,384.95,381.05,1.57,515553,328173.95
