,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-1.55%,1.02,1.03,1.61,43323,26856.96
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),0.65%,1.25,1.24,0.31,9263,30186.29
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),1.90%,10.72,10.52,0.29,4401,15102.42
3,AC.PA,Accor SA (ENXTPA:AC),0.68%,38.35,38.09,0.55,354008,648812.92
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-0.28%,14.23,14.27,1.08,3613542,3332825.04
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),1.09%,5.57,5.51,0.54,37428,69142.96
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-0.26%,115.40,115.70,1.63,86936,53320.04
7,AF.PA,Air France-KLM SA (ENXTPA:AF),0.83%,8.27,8.20,0.93,847040,912569.29
8,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),0.29%,170.22,169.72,0.80,357332,447087.75
9,AIR.PA,Airbus SE (ENXTPA:AIR),-0.03%,130.50,130.54,1.19,1022194,860316.33
10,AKE.PA,Arkema S.A. (ENXTPA:AKE),2.03%,80.50,78.90,1.28,142166,111164.38
11,AKW.PA,Akwel SA (ENXTPA:AKW),2.04%,10.00,9.80,1.69,4779,2832.67
12,ALO.PA,Alstom SA (ENXTPA:ALO),3.81%,17.29,16.66,1.65,1571870,952739.46
13,ALTA.PA,Altarea SCA (ENXTPA:ALTA),2.62%,109.80,107.00,1.72,5806,3376.75
14,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),0.95%,191.30,189.50,0.71,19773,27775.38
15,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),0.97%,67.65,67.00,0.76,68221,90163.96
16,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),0.64%,12.60,12.52,1.00,20285,20196.12
17,APAM.AS,Aperam S.A. (ENXTAM:APAM),1.69%,24.00,23.60,1.00,133073,132545.12
18,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),6.47%,5.76,5.41,2.57,75289,29352.42
19,ARG.PA,Argan SA (ENXTPA:ARG),-0.52%,77.00,77.40,1.15,7999,6956.17
