,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),1.56%,1.04,1.02,0.60,15629,26228.39
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),-0.31%,1.30,1.30,0.06,1736,31102.43
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-2.17%,10.80,11.04,0.46,9952,21625.70
3,AC.PA,Accor SA (ENXTPA:AC),0.76%,38.33,38.04,0.62,421218,675055.52
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),1.25%,14.20,14.03,1.35,4541313,3363704.22
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-4.36%,5.48,5.73,1.56,104896,67399.48
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),0.60%,117.50,116.80,1.11,59934,54197.00
7,AF.PA,Air France-KLM SA (ENXTPA:AF),1.73%,8.22,8.08,1.16,998734,863332.17
8,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-3.12%,163.10,168.36,1.65,740417,449855.57
9,AIR.PA,Airbus SE (ENXTPA:AIR),-1.38%,131.74,133.58,1.36,1107690,817336.35
10,AKE.PA,Arkema S.A. (ENXTPA:AKE),0.25%,81.55,81.35,1.32,144288,108982.43
12,ALO.PA,Alstom SA (ENXTPA:ALO),1.59%,17.62,17.35,1.29,941758,730339.26
13,ALTA.PA,Altarea SCA (ENXTPA:ALTA),5.53%,106.80,101.20,1.38,5009,3616.91
14,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),-0.47%,191.30,192.20,0.96,29853,31178.26
15,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),0.90%,66.90,66.30,1.42,128203,89996.48
16,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),1.16%,12.20,12.06,1.12,18801,16837.00
17,APAM.AS,Aperam S.A. (ENXTAM:APAM),-0.17%,23.76,23.80,1.24,174220,140287.43
18,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),1.15%,5.30,5.24,0.27,8444,30937.96
19,ARG.PA,Argan SA (ENXTPA:ARG),0.40%,76.10,75.80,1.62,10865,6723.96
20,ASY.PA,Assystem S.A. (ENXTPA:ASY),-0.40%,49.30,49.50,0.67,5873,8778.61
21,ATE.PA,Alten S.A. (ENXTPA:ATE),-0.11%,91.45,91.55,3.85,121367,31492.09
22,ATO.PA,Atos SE (ENXTPA:ATO),3.62%,0.71,0.69,0.95,919682,968331.00
23,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),1.56%,0.09,0.09,1.30,130897,100418.83
24,AYV.PA,Ayvens (ENXTPA:AYV),3.97%,6.29,6.05,1.35,365301,270938.00
25,BALYO.PA,Balyo SA (ENXTPA:BALYO),-0.34%,0.59,0.59,0.04,129,3184.87
26,BB.PA,Société BIC SA (ENXTPA:BB),-0.16%,62.30,62.40,1.01,20416,20180.74
27,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),1.46%,8.35,8.23,0.82,62756,76798.57
28,BIG.PA,BigBen Interactive (ENXTPA:BIG),2.03%,2.26,2.21,1.73,25333,14612.22
29,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),4.17%,107.30,103.00,2.03,149445,73639.52
31,BLV.PA,Believe S.A. (ENXTPA:BLV),-0.53%,15.00,15.08,0.29,881,3045.65
32,BN.PA,Danone S.A. (ENXTPA:BN),-0.06%,64.42,64.46,1.27,1195670,939135.39
33,BNP.PA,BNP Paribas SA (ENXTPA:BNP),2.73%,63.61,61.92,1.55,2748287,1767648.35
34,BOI.PA,Boiron SA (ENXTPA:BOI),-1.23%,32.15,32.55,1.01,692,685.74
36,BON.PA,Bonduelle SCA (ENXTPA:BON),1.21%,6.69,6.61,0.72,13992,19435.48
37,BVI.PA,Bureau Veritas SA (ENXTPA:BVI),-1.14%,29.40,29.74,1.27,604584,477070.52
38,CA.PA,Carrefour SA (ENXTPA:CA),0.03%,14.79,14.78,1.36,1801197,1320529.04
39,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),-2.59%,8.28,8.50,3.12,2408,772.22
40,CAP.PA,Capgemini SE (ENXTPA:CAP),0.22%,183.65,183.25,0.86,197779,229540.00
41,CARM.PA,Carmila S.A. (ENXTPA:CARM),1.06%,17.12,16.94,1.33,59842,44948.09
42,CATG.PA,SA Catana Group (ENXTPA:CATG),-1.96%,5.00,5.10,0.84,23042,27397.17
43,CDA.PA,Compagnie des Alpes SA (ENXTPA:CDA),1.32%,13.80,13.62,0.94,24927,26496.35
44,CGM.PA,Cegedim SA (ENXTPA:CGM),1.18%,12.90,12.75,2.13,6346,2974.48
45,CLA.PA,Claranova SE (ENXTPA:CLA),-1.64%,1.44,1.47,0.54,33953,62470.39
46,CLARI.PA,Clariane SE (ENXTPA:CLARI),3.79%,1.81,1.74,0.68,919122,1352080.95
47,CO.PA,"Casino, Guichard-Perrachon S.A. (ENXTPA:CO)",-0.80%,3.49,3.52,0.50,55581,111010.26
48,COFA.PA,COFACE SA (ENXTPA:COFA),0.34%,14.63,14.58,1.04,120969,116731.00
49,COV.PA,Covivio (ENXTPA:COV),1.92%,53.20,52.20,0.80,89185,111381.39
50,CRI.PA,Chargeurs SA (ENXTPA:CRI),0.83%,12.22,12.12,1.42,5719,4014.22
51,CS.PA,AXA SA (ENXTPA:CS),0.61%,34.72,34.51,1.12,2816836,2517332.39
52,DBG.PA,Derichebourg SA (ENXTPA:DBG),1.58%,5.07,5.00,1.11,130467,117201.39
53,DBV.PA,DBV Technologies S.A. (ENXTPA:DBV),0.12%,0.81,0.81,0.76,16597,21950.48
54,DEC.PA,JCDecaux SE (ENXTPA:DEC),1.24%,18.82,18.59,1.36,111962,82619.61
55,DG.PA,Vinci SA (ENXTPA:DG),2.09%,109.85,107.60,1.20,767628,641687.30
56,DIM.PA,Sartorius Stedim Biotech S.A. (ENXTPA:DIM),0.46%,174.25,173.45,0.95,44780,46933.35
57,DKUPL.PA,ADLPartner SA (ENXTPA:DKUPL),0.28%,35.80,35.70,1.07,357,333.48
58,DSY.PA,Dassault Systèmes SE (ENXTPA:DSY),-4.17%,32.87,34.30,2.14,1950914,911750.87
59,EAPI.PA,Euroapi S.A. (ENXTPA:EAPI),3.64%,4.27,4.12,1.16,180656,156352.35
60,EDEN.PA,Edenred SE (ENXTPA:EDEN),1.71%,37.57,36.94,1.30,481904,371628.30
61,EKI.PA,EKINOPS S.A. (ENXTPA:EKI),-0.44%,3.36,3.38,0.32,2677,8307.52
62,EL.PA,EssilorLuxottica Société anonyme (ENXTPA:EL),-2.57%,208.20,213.70,1.48,477732,322649.22
63,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),7.64%,3.47,3.22,2.46,816153,331578.61
64,ELIS.PA,Elis SA (ENXTPA:ELIS),1.58%,23.12,22.76,0.91,199032,218410.57
65,EN.PA,Bouygues SA (ENXTPA:EN),2.10%,32.65,31.98,1.54,756284,490624.30
66,ENGI.PA,Engie SA (ENXTPA:ENGI),1.49%,16.03,15.80,1.70,8658437,5091497.39
