,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-2.02%,0.97,0.99,0.17,7689,46357.21
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),2.40%,1.28,1.25,2.15,43979,20466.46
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),1.35%,10.50,10.36,0.71,17502,24643.08
3,AC.PA,Accor SA (ENXTPA:AC),0.57%,33.30,33.11,0.97,679709,702319.92
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),0.11%,13.15,13.13,0.66,3159965,4785318.12
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-0.71%,5.58,5.62,0.34,49865,145450.04
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-1.88%,109.60,111.70,1.21,97330,80610.17
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-0.33%,1.52,1.53,0.29,3154,10972.04
8,AF.PA,Air France-KLM SA (ENXTPA:AF),-1.55%,7.64,7.76,0.59,755346,1274961.88
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-0.51%,162.74,163.58,0.81,493363,606197.83
10,AIR.PA,Airbus SE (ENXTPA:AIR),-1.12%,134.46,135.98,0.74,897446,1206459.42
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),-1.38%,78.55,79.65,0.94,127377,136016.62
12,AKW.PA,Akwel SA (ENXTPA:AKW),3.55%,10.50,10.14,3.27,7593,2322.38
13,ALO.PA,Alstom SA (ENXTPA:ALO),0.41%,17.24,17.17,0.40,476381,1199954.67
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),0.51%,98.00,97.50,0.53,2245,4271.79
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),-2.50%,187.40,192.20,0.70,39135,56028.08
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),-0.71%,62.75,63.20,0.71,93415,132069.83
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),0.65%,12.30,12.22,0.75,13437,17865.83
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),-0.86%,25.28,25.50,0.73,151834,207374.71
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),0.30%,4.95,4.93,1.25,32968,26366.58
20,ARG.PA,Argan SA (ENXTPA:ARG),-0.13%,74.70,74.80,0.78,6385,8177.33
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),-0.32%,47.35,47.50,0.45,5218,11631.08
22,ATE.PA,Alten S.A. (ENXTPA:ATE),-2.00%,95.75,97.70,0.81,39000,48296.04
23,ATO.PA,Atos SE (ENXTPA:ATO),-1.52%,0.88,0.89,0.15,831660,5545238.29
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-1.38%,0.09,0.09,0.46,71631,154246.21
25,AYV.PA,Ayvens (ENXTPA:AYV),-1.75%,5.89,5.99,1.19,523138,440511.29
28,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),0.23%,8.81,8.79,0.43,67351,155834.46
29,BIG.PA,BigBen Interactive (ENXTPA:BIG),0.46%,2.18,2.17,0.13,3328,25980.17
30,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),0.05%,96.75,96.70,0.98,75950,77466.71
