,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),0.96%,1.05,1.04,2.39,68780,28774.82
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),-1.06%,1.30,1.32,0.18,4495,24825.32
3,AC.PA,Accor SA (ENXTPA:AC),1.86%,39.88,39.15,0.82,612771,749697.14
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),1.01%,13.95,13.81,1.51,6197651,4117875.77
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-0.52%,5.74,5.77,1.56,111452,71429.77
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-0.86%,115.40,116.40,0.81,65751,81581.73
7,AF.PA,Air France-KLM SA (ENXTPA:AF),0.14%,8.41,8.40,0.79,890758,1123949.91
8,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),1.29%,172.80,170.60,1.07,556878,519595.32
9,AIR.PA,Airbus SE (ENXTPA:AIR),1.49%,134.92,132.94,0.81,831978,1026745.59
10,AKE.PA,Arkema S.A. (ENXTPA:AKE),3.33%,82.15,79.50,0.77,111413,144782.05
11,AKW.PA,Akwel SA (ENXTPA:AKW),-0.10%,9.66,9.67,3.93,14757,3750.36
12,ALO.PA,Alstom SA (ENXTPA:ALO),0.85%,17.81,17.66,0.69,752587,1091836.45
13,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-0.37%,107.60,108.00,0.54,2854,5279.73
14,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),1.63%,193.20,190.10,0.89,36282,40758.55
15,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),0.74%,68.25,67.75,1.18,143734,121498.09
16,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),-2.12%,12.00,12.26,0.60,15951,26610.18
17,APAM.AS,Aperam S.A. (ENXTAM:APAM),4.67%,26.00,24.84,2.48,365534,147145.59
18,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),-1.80%,5.99,6.10,0.72,25227,35041.91
19,ARG.PA,Argan SA (ENXTPA:ARG),-0.54%,73.40,73.80,0.96,10434,10896.77
20,ASY.PA,Assystem S.A. (ENXTPA:ASY),1.66%,45.95,45.20,0.89,13136,14689.14
21,ATE.PA,Alten S.A. (ENXTPA:ATE),1.32%,100.10,98.80,0.66,29900,45187.68
22,ATO.PA,Atos SE (ENXTPA:ATO),-0.03%,0.67,0.67,0.77,964415,1253811.68
23,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-0.81%,0.09,0.09,1.69,134018,79128.41
24,AYV.PA,Ayvens (ENXTPA:AYV),2.57%,5.99,5.84,0.82,239586,293559.50
25,BALYO.PA,Balyo SA (ENXTPA:BALYO),-2.83%,0.48,0.50,1.10,5703,5185.82
26,BB.PA,Société BIC SA (ENXTPA:BB),0.33%,60.70,60.50,0.95,25860,27324.32
27,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),0.79%,8.93,8.86,1.13,107800,95596.00
28,BIG.PA,BigBen Interactive (ENXTPA:BIG),-0.10%,1.93,1.93,1.07,20247,18938.86
29,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),-0.92%,107.90,108.90,0.99,111107,112697.59
