,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-4.04%,1.00,1.04,1.52,42854,28251.43
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),-0.46%,1.29,1.30,0.27,7635,27918.86
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),0.93%,10.90,10.80,0.33,5940,17965.48
3,AC.PA,Accor SA (ENXTPA:AC),-1.46%,37.77,38.33,0.93,625118,675637.71
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-0.53%,14.13,14.20,1.35,4303259,3189718.62
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-0.36%,5.46,5.48,0.67,46220,68706.86
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-0.17%,117.30,117.50,1.11,53621,48264.38
7,AF.PA,Air France-KLM SA (ENXTPA:AF),-2.12%,8.05,8.22,0.96,846573,883026.67
8,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-0.45%,162.36,163.10,1.70,738211,433756.43
9,AIR.PA,Airbus SE (ENXTPA:AIR),-2.58%,128.34,131.74,1.94,1524619,785474.90
10,AKE.PA,Arkema S.A. (ENXTPA:AKE),-3.07%,79.05,81.55,1.82,202179,110858.43
11,AKW.PA,Akwel SA (ENXTPA:AKW),-0.39%,10.16,10.20,0.84,2217,2627.00
12,ALO.PA,Alstom SA (ENXTPA:ALO),-2.01%,17.27,17.62,1.49,1116386,750534.19
13,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-2.06%,104.60,106.80,1.08,3867,3592.57
14,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),-2.14%,187.20,191.30,1.10,32421,29376.57
15,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),-1.64%,65.80,66.90,1.40,122431,87551.57
16,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),-5.25%,11.56,12.20,1.21,20782,17160.52
17,APAM.AS,Aperam S.A. (ENXTAM:APAM),-2.61%,23.14,23.76,1.74,237991,136893.38
18,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),-1.13%,5.24,5.30,0.21,6296,29554.43
19,ARG.PA,Argan SA (ENXTPA:ARG),-0.53%,75.70,76.10,1.40,9666,6921.48
20,ASY.PA,Assystem S.A. (ENXTPA:ASY),-0.30%,49.15,49.30,2.56,24263,9479.71
21,ATE.PA,Alten S.A. (ENXTPA:ATE),-0.60%,90.90,91.45,2.55,84643,33163.00
22,ATO.PA,Atos SE (ENXTPA:ATO),-2.85%,0.69,0.71,0.91,824023,908429.95
24,AYV.PA,Ayvens (ENXTPA:AYV),0.40%,6.32,6.29,1.56,395227,253135.90
25,BALYO.PA,Balyo SA (ENXTPA:BALYO),-5.61%,0.56,0.59,0.75,2610,3469.95
26,BB.PA,Société BIC SA (ENXTPA:BB),-0.96%,61.70,62.30,1.79,36037,20099.19
27,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),-1.08%,8.26,8.35,1.35,103491,76557.52
28,BIG.PA,BigBen Interactive (ENXTPA:BIG),-1.33%,2.23,2.26,0.67,10367,15358.76
29,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),-1.58%,105.60,107.30,1.35,95076,70647.05
30,BLC.PA,Bastide Le Confort Médical SA (ENXTPA:BLC),0.47%,21.40,21.30,1.10,3574,3237.57
31,BLV.PA,Believe S.A. (ENXTPA:BLV),0.40%,15.06,15.00,0.39,1146,2919.76
32,BN.PA,Danone S.A. (ENXTPA:BN),1.24%,65.22,64.42,2.23,2155299,966821.14
33,BNP.PA,BNP Paribas SA (ENXTPA:BNP),-2.25%,62.18,63.61,1.72,2823213,1640873.76
35,BOL.PA,Bolloré SE (ENXTPA:BOL),-3.16%,5.67,5.86,1.72,1214297,704464.14
36,BON.PA,Bonduelle SCA (ENXTPA:BON),-2.09%,6.55,6.69,3.33,73095,21925.29
37,BVI.PA,Bureau Veritas SA (ENXTPA:BVI),-0.61%,29.22,29.40,1.10,519627,472358.43
38,CA.PA,Carrefour SA (ENXTPA:CA),0.41%,14.85,14.79,1.41,1844936,1309235.76
39,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),0.48%,8.32,8.28,2.93,2481,847.00
40,CAP.PA,Capgemini SE (ENXTPA:CAP),-1.96%,180.05,183.65,1.17,248153,211415.81
41,CARM.PA,Carmila S.A. (ENXTPA:CARM),1.05%,17.30,17.12,1.80,82708,45986.90
42,CATG.PA,SA Catana Group (ENXTPA:CATG),-1.20%,4.94,5.00,1.10,31206,28355.48
43,CDA.PA,Compagnie des Alpes SA (ENXTPA:CDA),-0.72%,13.70,13.80,1.04,26972,25865.76
44,CGM.PA,Cegedim SA (ENXTPA:CGM),-3.10%,12.50,12.90,0.45,1359,3053.14
45,CLA.PA,Claranova SE (ENXTPA:CLA),-0.83%,1.43,1.44,0.77,45848,59239.19
46,CLARI.PA,Clariane SE (ENXTPA:CLARI),-3.10%,1.75,1.81,0.59,743866,1270971.15
47,CO.PA,"Casino, Guichard-Perrachon S.A. (ENXTPA:CO)",-2.97%,3.38,3.49,0.97,116016,119631.38
48,COFA.PA,COFACE SA (ENXTPA:COFA),-2.12%,14.32,14.63,0.87,88784,102396.52
49,COV.PA,Covivio (ENXTPA:COV),1.03%,53.75,53.20,1.14,130303,114628.48
50,CRI.PA,Chargeurs SA (ENXTPA:CRI),-1.80%,12.00,12.22,1.83,8062,4393.86
51,CS.PA,AXA SA (ENXTPA:CS),-0.66%,34.49,34.72,1.45,3581986,2473579.86
52,DBG.PA,Derichebourg SA (ENXTPA:DBG),-2.38%,4.95,5.07,0.94,108306,114826.62
54,DEC.PA,JCDecaux SE (ENXTPA:DEC),-1.28%,18.58,18.82,1.57,120739,76752.14
55,DG.PA,Vinci SA (ENXTPA:DG),-0.68%,109.10,109.85,1.63,987565,605894.48
56,DIM.PA,Sartorius Stedim Biotech S.A. (ENXTPA:DIM),2.55%,178.70,174.25,1.89,88221,46643.67
57,DKUPL.PA,ADLPartner SA (ENXTPA:DKUPL),-1.40%,35.30,35.80,0.77,217,282.29
58,DSY.PA,Dassault Systèmes SE (ENXTPA:DSY),1.98%,33.52,32.87,1.56,1353719,865202.90
59,EAPI.PA,Euroapi S.A. (ENXTPA:EAPI),-5.53%,4.03,4.27,0.87,135343,155334.67
60,EDEN.PA,Edenred SE (ENXTPA:EDEN),-0.45%,37.40,37.57,1.33,478891,361396.86
61,EKI.PA,EKINOPS S.A. (ENXTPA:EKI),1.19%,3.40,3.36,0.35,2173,6205.86
62,EL.PA,EssilorLuxottica Société anonyme (ENXTPA:EL),0.29%,208.80,208.20,1.70,555619,326615.71
63,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),-4.90%,3.30,3.47,1.86,633692,340261.10
64,ELIS.PA,Elis SA (ENXTPA:ELIS),-15.66%,19.50,23.12,7.86,2445455,311127.29
65,EN.PA,Bouygues SA (ENXTPA:EN),-2.05%,31.98,32.65,2.05,1002675,488996.38
66,ENGI.PA,Engie SA (ENXTPA:ENGI),0.53%,16.11,16.03,1.19,5721533,4795912.95
67,ENX.PA,Euronext N.V. (ENXTPA:ENX),-0.46%,98.25,98.70,1.74,186627,107340.14
68,EOS.PA,Acteos SA (ENXTPA:EOS),-0.71%,1.40,1.41,0.00,1,958.86
69,ERA.PA,ERAMET S.A. (ENXTPA:ERA),-5.53%,62.30,65.95,1.94,94610,48892.81
70,ERF.PA,Eurofins Scientific SE (ENXTPA:ERF),2.29%,52.60,51.42,1.03,322359,312130.25
71,ES.PA,Esso S.A.F. (ENXTPA:ES),-3.67%,126.00,130.80,1.20,9964,8299.17
72,ETL.PA,Eutelsat Group (ENXTPA:ETL),-1.96%,4.19,4.28,0.37,38338,102711.14
73,EXA.PA,Exail Technologies (ENXTPA:EXA),-1.68%,17.56,17.86,0.82,3766,4613.48
75,FDE.PA,La Française de l'Energie S.A. (ENXTPA:FDE),-0.74%,26.80,27.00,0.55,3339,6047.86
76,FDJ.PA,La Française des Jeux Société anonyme (ENXTPA:FDJ),-1.04%,38.02,38.42,0.90,107251,119155.48
77,FGR.PA,Eiffage SA (ENXTPA:FGR),-0.91%,95.80,96.68,1.07,190455,177555.86
78,FII.PA,Lisi S.A. (ENXTPA:FII),-0.89%,27.95,28.20,0.51,6039,11901.62
79,FNAC.PA,Fnac Darty SA (ENXTPA:FNAC),-2.41%,28.35,29.05,1.81,23495,13007.86
80,FR.PA,Valeo SE (ENXTPA:FR),-4.14%,9.08,9.47,2.01,1420863,706506.90
81,FRVIA.PA,Forvia SE (ENXTPA:FRVIA),-4.87%,8.82,9.27,2.35,1814471,772386.10
82,GBT.PA,Guerbet SA (ENXTPA:GBT),-2.38%,32.85,33.65,0.87,4210,4860.62
83,GET.PA,Getlink SE (ENXTPA:GET),0.25%,16.23,16.19,0.89,434235,489592.10
84,GFC.PA,Gecina (ENXTPA:GFC),1.36%,104.00,102.60,1.81,190378,105038.19
85,GLE.PA,Société Générale Société anonyme (ENXTPA:GLE),-0.80%,21.83,22.00,1.49,3176350,2138317.62
86,GLO.PA,GL Events SA (ENXTPA:GLO),-1.49%,18.52,18.80,1.19,39574,33195.90
87,GNFT.PA,Genfit S.A. (ENXTPA:GNFT),-4.24%,3.73,3.89,1.18,126447,107382.10
