,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-3.29%,1.00,1.03,1.27,64860,51026.83
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),0.65%,1.24,1.23,2.26,30457,13501.29
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-2.67%,10.92,11.22,1.79,34528,19243.75
3,AC.PA,Accor SA (ENXTPA:AC),-4.70%,33.05,34.68,1.79,1187643,665167.42
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-5.62%,13.19,13.97,3.15,14992823,4752648.38
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-7.40%,5.63,6.08,0.31,46773,153329.08
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),-1.53%,115.50,117.30,0.97,74678,76688.88
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-2.40%,1.63,1.67,1.30,13706,10581.58
8,AF.PA,Air France-KLM SA (ENXTPA:AF),0.23%,7.94,7.93,1.12,1538347,1374507.75
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),-1.46%,163.48,165.90,1.45,825897,568700.21
10,AIR.PA,Airbus SE (ENXTPA:AIR),-1.51%,131.90,133.92,1.15,1337471,1164622.04
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),-3.88%,81.70,85.00,1.28,176399,137502.88
12,AKW.PA,Akwel SA (ENXTPA:AKW),-2.86%,10.20,10.50,0.82,1851,2258.42
13,ALO.PA,Alstom SA (ENXTPA:ALO),-2.20%,17.12,17.51,1.36,1665985,1226653.83
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),-0.79%,101.00,101.80,1.20,5955,4971.88
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),-0.11%,185.80,186.00,1.18,66171,55871.42
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),-3.76%,64.05,66.55,1.30,160545,123385.54
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),-2.76%,11.98,12.32,1.50,26037,17383.38
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),-4.84%,24.76,26.02,1.85,370079,200432.21
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),-3.23%,4.50,4.65,0.65,18756,28901.96
20,ARG.PA,Argan SA (ENXTPA:ARG),1.32%,76.50,75.50,1.36,12094,8860.25
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),-1.65%,47.70,48.50,0.63,7654,12166.62
22,ATE.PA,Alten S.A. (ENXTPA:ATE),-2.22%,97.00,99.20,0.77,36417,47240.17
23,ATO.PA,Atos SE (ENXTPA:ATO),-5.74%,0.90,0.95,0.27,1632477,6030666.50
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-5.94%,0.09,0.10,1.17,145131,124209.42
25,AYV.PA,Ayvens (ENXTPA:AYV),-7.09%,6.22,6.70,1.54,635591,411780.04
26,BALYO.PA,Balyo SA (ENXTPA:BALYO),0.69%,0.58,0.58,3.22,17619,5474.00
27,BB.PA,Société BIC SA (ENXTPA:BB),-0.69%,57.80,58.20,0.91,22833,25123.96
28,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),-4.08%,8.46,8.82,1.12,173874,155046.88
29,BIG.PA,BigBen Interactive (ENXTPA:BIG),-3.84%,2.26,2.35,0.96,27153,28277.04
30,BIM.PA,bioMérieux S.A. (ENXTPA:BIM),-0.71%,97.40,98.10,0.85,62896,73837.12
32,BLV.PA,Believe S.A. (ENXTPA:BLV),1.59%,14.02,13.80,1.49,6306,4235.67
33,BN.PA,Danone S.A. (ENXTPA:BN),2.88%,61.54,59.82,2.01,2278233,1135734.75
34,BNP.PA,BNP Paribas SA (ENXTPA:BNP),-2.93%,59.66,61.46,1.88,4648756,2476575.75
35,BOI.PA,Boiron SA (ENXTPA:BOI),-0.16%,31.95,32.00,0.26,464,1753.00
36,BOL.PA,Bolloré SE (ENXTPA:BOL),-2.50%,5.46,5.60,1.21,835868,688417.17
37,BON.PA,Bonduelle SCA (ENXTPA:BON),8.95%,6.94,6.37,2.86,60964,21320.29
38,BVI.PA,Bureau Veritas SA (ENXTPA:BVI),-2.37%,28.06,28.74,0.95,638491,670711.17
39,CA.PA,Carrefour SA (ENXTPA:CA),0.22%,13.87,13.84,1.44,2534606,1759379.67
40,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),-0.22%,8.90,8.92,0.95,937,987.62
41,CAP.PA,Capgemini SE (ENXTPA:CAP),-0.99%,179.35,181.15,1.22,429742,351980.21
42,CARM.PA,Carmila S.A. (ENXTPA:CARM),0.12%,16.78,16.76,2.40,84226,35140.46
43,CATG.PA,SA Catana Group (ENXTPA:CATG),-3.73%,4.65,4.83,1.00,53247,53247.17
44,CDA.PA,Compagnie des Alpes SA (ENXTPA:CDA),-1.68%,12.84,13.06,0.85,28162,33216.71
45,CGM.PA,Cegedim SA (ENXTPA:CGM),-2.33%,12.55,12.85,1.62,7819,4815.46
46,CLA.PA,Claranova SE (ENXTPA:CLA),-8.45%,1.58,1.73,3.37,221067,65576.62
