,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),-0.72%,0.96,0.97,0.71,29900,41887.58
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),3.13%,1.32,1.28,3.58,77991,21803.50
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),0.38%,10.54,10.50,0.88,21875,24946.92
3,AC.PA,Accor SA (ENXTPA:AC),1.56%,33.82,33.30,0.93,657769,705184.08
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),-0.11%,13.13,13.15,0.55,2565491,4628994.04
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),2.69%,5.73,5.58,0.56,80254,144209.46
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),2.92%,112.80,109.60,0.77,60204,78025.62
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),1.64%,1.55,1.52,0.16,1761,10919.65
8,AF.PA,Air France-KLM SA (ENXTPA:AF),0.65%,7.69,7.64,0.56,699454,1242704.33
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),0.53%,163.60,162.74,0.69,411082,596327.21
10,AIR.PA,Airbus SE (ENXTPA:AIR),-0.07%,134.36,134.46,0.48,568947,1197640.42
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),0.64%,79.05,78.55,0.87,114759,132640.92
12,AKW.PA,Akwel SA (ENXTPA:AKW),2.86%,10.80,10.50,1.20,2804,2333.25
13,ALO.PA,Alstom SA (ENXTPA:ALO),-0.99%,17.07,17.24,0.37,434489,1173382.33
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),1.02%,99.00,98.00,1.10,4617,4203.96
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),1.65%,190.50,187.40,0.78,43546,55672.50
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),1.43%,63.65,62.75,0.61,80213,131314.08
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),3.58%,12.74,12.30,0.71,12178,17262.42
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),-0.24%,25.22,25.28,0.50,103772,205522.04
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),3.13%,5.10,4.95,1.90,52392,27615.75
20,ARG.PA,Argan SA (ENXTPA:ARG),0.54%,75.10,74.70,0.97,7564,7794.12
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),1.48%,48.05,47.35,1.24,14439,11638.08
22,ATE.PA,Alten S.A. (ENXTPA:ATE),0.84%,96.55,95.75,0.40,18684,46887.83
23,ATO.PA,Atos SE (ENXTPA:ATO),-1.29%,0.87,0.88,0.12,653285,5428244.08
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-7.40%,0.09,0.09,2.09,308027,147411.25
25,AYV.PA,Ayvens (ENXTPA:AYV),0.17%,5.90,5.89,0.72,306804,425879.67
26,BALYO.PA,Balyo SA (ENXTPA:BALYO),-0.34%,0.58,0.58,0.00,23,5734.00
28,BEN.PA,Bénéteau S.A. (ENXTPA:BEN),1.59%,8.95,8.81,0.45,70238,154907.04
