,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
0,AB.PA,AB Science S.A. (ENXTPA:AB),0.41%,0.98,0.98,1.28,37488,29186.46
1,ABNX.PA,ABIONYX Pharma SA (ENXTPA:ABNX),2.19%,1.31,1.28,1.37,45445,33222.67
2,ABVX.PA,ABIVAX Société Anonyme (ENXTPA:ABVX),-0.76%,10.40,10.48,0.49,12537,25383.21
3,AC.PA,Accor SA (ENXTPA:AC),2.91%,37.10,36.05,1.36,1055422,773668.83
4,ACA.PA,Crédit Agricole S.A. (ENXTPA:ACA),0.85%,13.72,13.60,0.68,2930214,4313397.33
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),4.91%,5.77,5.50,2.17,141644,65302.38
6,ADP.PA,Aeroports de Paris SA (ENXTPA:ADP),0.69%,116.70,115.90,0.89,54023,60540.33
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),0.94%,1.62,1.60,0.28,2674,9659.48
8,AF.PA,Air France-KLM SA (ENXTPA:AF),1.70%,7.64,7.52,0.80,823201,1034257.75
9,AI.PA,L'Air Liquide S.A. (ENXTPA:AI),0.56%,165.92,165.00,0.70,374874,535614.83
10,AIR.PA,Airbus SE (ENXTPA:AIR),1.38%,140.80,138.88,1.00,1044758,1042450.12
11,AKE.PA,Arkema S.A. (ENXTPA:AKE),0.87%,81.45,80.75,0.53,59149,112641.12
12,AKW.PA,Akwel SA (ENXTPA:AKW),0.78%,10.34,10.26,1.52,3661,2406.25
13,ALO.PA,Alstom SA (ENXTPA:ALO),1.89%,18.33,17.99,0.98,851503,873277.08
14,ALTA.PA,Altarea SCA (ENXTPA:ALTA),0.39%,103.40,103.00,0.57,2035,3586.71
15,AM.PA,Dassault Aviation société anonyme (ENXTPA:AM),0.11%,189.20,189.00,0.35,16108,45665.38
16,AMUN.PA,Amundi S.A. (ENXTPA:AMUN),0.75%,67.00,66.50,0.84,94427,112403.71
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),2.63%,12.48,12.16,0.92,16672,18143.29
18,APAM.AS,Aperam S.A. (ENXTAM:APAM),0.55%,25.64,25.50,0.40,74896,185725.62
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),3.07%,5.38,5.22,0.39,11878,30598.62
20,ARG.PA,Argan SA (ENXTPA:ARG),1.84%,77.50,76.10,0.70,5031,7216.46
21,ASY.PA,Assystem S.A. (ENXTPA:ASY),-3.96%,50.90,53.00,0.91,9720,10647.92
