,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
32,BLV.PA,Believe S.A. (ENXTPA:BLV),4.41%,14.20,13.60,0.21,613,2945.12
17,ANTIN.PA,Antin Infrastructure Partners SAS (ENXTPA:ANTIN),3.58%,12.74,12.30,0.71,12178,17262.42
64,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),3.34%,3.09,2.99,1.07,504265,470635.33
31,BLC.PA,Bastide Le Confort Médical SA (ENXTPA:BLC),3.23%,19.82,19.20,0.17,704,4129.21
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),3.13%,5.10,4.95,1.90,52392,27615.75
