,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
114,MCPHY.PA,McPhy Energy S.A. (ENXTPA:MCPHY),10.05%,2.30,2.09,1.34,90058,67086.45
47,CLARI.PA,Clariane SE (ENXTPA:CLARI),9.87%,1.83,1.66,2.03,2533657,1249322.50
165,SIGHT.PA,GenSight Biologics S.A. (ENXTPA:SIGHT),7.82%,0.32,0.29,0.36,53230,147982.50
60,EAPI.PA,Euroapi S.A. (ENXTPA:EAPI),6.93%,3.86,3.61,0.85,153248,180245.68
19,ARAMI.PA,Aramis Group SAS (ENXTPA:ARAMI),6.67%,4.80,4.50,1.29,33445,25864.41
