,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
144,POXEL.PA,Poxel S.A. (ENXTPA:POXEL),18.56%,0.69,0.58,4.85,1695084,349163.04
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),11.18%,0.09,0.09,1.80,283565,157838.17
109,LOCAL.PA,Solocal Group S.A. (ENXTPA:LOCAL),9.68%,0.00,0.00,3.34,113244975,33949964.04
76,FDE.PA,La Française de l'Energie S.A. (ENXTPA:FDE),6.64%,28.90,27.10,0.48,3879,8110.74
199,WLN.PA,Worldline SA (ENXTPA:WLN),6.63%,8.27,7.76,1.48,2100921,1421883.48
