,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
86,GLO.PA,GL Events SA (ENXTPA:GLO),11.77%,18.80,16.82,2.95,88952,30146.61
136,OSE.PA,OSE Immunotherapeutics SA (ENXTPA:OSE),8.47%,8.84,8.15,2.75,357094,129650.43
63,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),7.64%,3.47,3.22,2.46,816153,331578.61
192,VLTSA.PA,Voltalia SA (ENXTPA:VLTSA),6.93%,8.18,7.65,1.64,188317,114997.22
163,SIGHT.PA,GenSight Biologics S.A. (ENXTPA:SIGHT),6.67%,0.38,0.36,1.18,589955,499536.87
