,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
136,OSE.PA,OSE Immunotherapeutics SA (ENXTPA:OSE),7.17%,9.12,8.51,2.07,313059,151413.14
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),6.59%,5.82,5.46,2.35,171300,73042.38
165,SMCP.PA,SMCP S.A. (ENXTPA:SMCP),6.49%,2.21,2.08,3.09,559743,180986.48
63,ELIOR.PA,Elior Group SA (ENXTPA:ELIOR),5.95%,3.49,3.30,1.40,475962,338913.33
56,DIM.PA,Sartorius Stedim Biotech S.A. (ENXTPA:DIM),5.62%,188.75,178.70,1.33,63993,48202.48
