,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
104,LAT.PA,Latécoère S.A. (ENXTPA:LAT),-11.11%,0.01,0.01,1.54,6232811,4060334.27
119,MHM.PA,MyHotelMatch S.A. (ENXTPA:MHM),-8.11%,0.37,0.41,3.97,38789,9771.23
187,VIRI.PA,Viridien Société anonyme (ENXTPA:VIRI),-5.31%,35.78,37.79,1.09,33156,30309.95
79,FNAC.PA,Fnac Darty SA (ENXTPA:FNAC),-4.97%,27.70,29.15,1.27,21157,16659.36
116,MEMS.PA,"MEMSCAP, S.A. (ENXTPA:MEMS)",-4.10%,4.21,4.39,1.99,29423,14822.00
