,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
189,VIRI.PA,Viridien Société anonyme (ENXTPA:VIRI),-6.54%,38.67,41.38,1.67,81486,48736.91
7,ADUX.PA,AdUX SA (ENXTPA:ADUX),-4.91%,1.55,1.63,0.83,9749,11698.38
48,CO.PA,"Casino, Guichard-Perrachon S.A. (ENXTPA:CO)",-4.71%,3.27,3.43,0.41,69277,167641.14
120,MHM.PA,MyHotelMatch S.A. (ENXTPA:MHM),-4.10%,0.49,0.51,1.17,14095,12016.14
24,AVT.PA,Avenir Telecom S.A. (ENXTPA:AVT),-3.95%,0.09,0.09,3.10,471519,152123.32
