,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
151,RMS.PA,Hermès International Société en commandite par actions (ENXTPA:RMS),-6.42%,1947.50,2081.00,2.76,147404,53460.78
94,IDL.PA,ID Logistics Group SA (ENXTPA:IDL),-6.34%,376.50,402.00,7.77,36286,4671.04
128,NEX.PA,Nexans S.A. (ENXTPA:NEX),-4.44%,118.50,124.00,1.79,244753,136814.13
5,ADOC.PA,Adocia SA (ENXTPA:ADOC),-4.36%,5.48,5.73,1.56,104896,67399.48
58,DSY.PA,Dassault Systèmes SE (ENXTPA:DSY),-4.17%,32.87,34.30,2.14,1950914,911750.87
