,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
138,OSE.PA,OSE Immunotherapeutics SA (ENXTPA:OSE),-9.62%,7.05,7.80,1.98,334082,168402.33
91,GUI.PA,Guillemot Corporation S.A. (ENXTPA:GUI),-9.33%,5.44,6.00,4.26,23481,5509.67
82,FRVIA.PA,Forvia SE (ENXTPA:FRVIA),-9.16%,9.44,10.39,1.94,2112074,1086737.62
189,VIRI.PA,Viridien Société anonyme (ENXTPA:VIRI),-9.11%,42.00,46.21,2.20,94120,42810.79
46,CLA.PA,Claranova SE (ENXTPA:CLA),-8.45%,1.58,1.73,3.37,221067,65576.62
