,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
197,WLN.PA,Worldline SA (ENXTPA:WLN),-14.38%,7.21,8.43,6.74,7300852,1083431.62
191,VLA.PA,Valneva SE (ENXTPA:VLA),-10.45%,2.81,3.14,4.38,3038827,694295.33
28,BIG.PA,BigBen Interactive (ENXTPA:BIG),-5.29%,1.97,2.08,3.08,56660,18377.17
163,SIGHT.PA,GenSight Biologics S.A. (ENXTPA:SIGHT),-4.34%,0.38,0.39,0.45,245562,546038.62
160,SEFER.PA,SergeFerrari Group SA (ENXTPA:SEFER),-3.56%,5.42,5.62,2.08,2786,1341.75
