,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
40,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),-0.23%,8.62,8.64,3.36,2323,691.88
148,PWG.PA,Prodways Group SA (ENXTPA:PWG),0.57%,0.53,0.52,2.88,38671,13437.21
125,MTU.PA,Manitou BF SA (ENXTPA:MTU),1.59%,19.18,18.88,2.31,32282,13981.67
141,PHXM.PA,PHAXIAM Therapeutics S.A. (ENXTPA:PHXM),-1.69%,1.75,1.78,2.29,10804,4712.25
108,LNA.PA,LNA Santé SA (ENXTPA:LNA),3.91%,26.55,25.55,2.21,3049,1381.42
