,Ticker,Name,Latest Return,Latest Close,Previous Close,Volume Index,Latest Volume,Average Volume
64,ELIS.PA,Elis SA (ENXTPA:ELIS),-15.66%,19.50,23.12,7.86,2445455,311127.29
153,RUI.PA,Rubis (ENXTPA:RUI),-10.85%,25.30,28.38,7.01,931901,133025.95
170,SRP.PA,SRP Groupe S.A. (ENXTPA:SRP),9.60%,1.09,0.99,3.50,77812,22258.57
36,BON.PA,Bonduelle SCA (ENXTPA:BON),-2.09%,6.55,6.69,3.33,73095,21925.29
39,CAFO.PA,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme (ENXTPA:CAFO),0.48%,8.32,8.28,2.93,2481,847.00
